dataset,ferramenta,precisão,recall,f1,MCC,tempo
KronoDroid Emulator,AutoGluon,0.9300,0.8950,0.9120,0.8430,00:04:30
KronoDroid Emulator,MH-AutoML,0.9020,0.9040,0.9025,0.8050,00:16:30
KronoDroid Emulator,Auto-Sklearn,0.9290,0.9100,0.9190,0.8540,01:02:20
KronoDroid Emulator,TPOT,0.8780,0.9040,0.8905,0.7990,00:43:10
KronoDroid Emulator,AutoPyTorch,0.9260,0.9130,0.9190,0.8535,01:52:00
KronoDroid Emulator,LightAutoML,0.9310,0.9150,0.9230,0.8610,00:14:00
KronoDroid Emulator,HyperGBM,0.9110,0.9170,0.9140,0.8435,00:01:00
KronoDroid Emulator,MLJar,0.9340,0.8970,0.9150,0.8485,00:02:10
KronoDroid Real,AutoGluon,0.9680,0.9280,0.9470,0.8910,00:04:20
KronoDroid Real,MH-AutoML,0.9140,0.9150,0.9145,0.8290,00:16:20
KronoDroid Real,Auto-Sklearn,0.9630,0.9210,0.9415,0.8790,01:00:50
KronoDroid Real,TPOT,0.9300,0.9180,0.9240,0.8380,00:36:40
KronoDroid Real,AutoPyTorch,0.9650,0.9210,0.9425,0.8815,01:58:50
KronoDroid Real,LightAutoML,0.9700,0.9320,0.9500,0.8970,00:13:40
KronoDroid Real,HyperGBM,0.9570,0.9260,0.9410,0.8775,00:01:00
KronoDroid Real,MLJar,0.9560,0.9380,0.9470,0.8880,00:03:40
AndroCrawl,AutoGluon,0.7640,0.9660,0.8530,0.8410,00:00:30
AndroCrawl,MH-AutoML,0.8690,0.9620,0.9080,0.8250,00:08:55
AndroCrawl,Auto-Sklearn,0.8020,0.9660,0.8760,0.8650,01:05:20
AndroCrawl,TPOT,0.7370,0.9620,0.8345,0.8220,00:22:30
AndroCrawl,AutoPyTorch,0.7530,0.9650,0.8460,0.8335,01:39:10
AndroCrawl,LightAutoML,0.7830,0.9650,0.8645,0.8530,00:06:50
AndroCrawl,HyperGBM,0.8200,0.9590,0.8840,0.8730,00:01:00
AndroCrawl,MLJar,0.8020,0.9590,0.8740,0.8615,00:01:10
Android Permissions,AutoGluon,0.6660,0.6090,0.6360,0.1550,00:00:30
Android Permissions,MH-AutoML,0.5710,0.5700,0.5700,0.1400,00:03:20
Android Permissions,Auto-Sklearn,0.5990,0.9150,0.7240,0.0110,01:03:20
Android Permissions,TPOT,0.4580,0.0680,0.1190,-0.0890,00:44:30
Android Permissions,AutoPyTorch,0.6760,0.5330,0.5960,0.1530,01:49:20
