dataset,ferramenta,acuracia,precisao,recall,f1,tempo
kronodroid_emulador,AutoGluon,97.25,97.13,96.69,96.91,00:08:10
kronodroid_emulador,MH-AutoML,97.09,97.06,97.06,97.06,00:17:21
kronodroid_emulador,Auto-Sklearn,97.11,96.84,96.65,96.75,00:59:55
kronodroid_emulador,TPOT,95.99,95.31,95.71,95.51,00:53:12
kronodroid_emulador,AutoPyTorch,97.54,96.92,96.71,96.77,00:59:56
kronodroid_emulador,LightAutoML,97.22,97.07,96.67,96.87,00:14:16
kronodroid_emulador,HyperGBM,96.88,96.88,96.88,96.88,00:05:33
kronodroid_emulador,MLJar,97.31,96.91,96.71,96.77,00:59:59
kronodroid_real,AutoGluon,97.44,97.87,97.57,99.3,00:06:54
kronodroid_real,MH-AutoML,96.41,96.36,96.47,96.4,00:03:10
kronodroid_real,Auto-Sklearn,97.17,97.48,97.16,97.32,00:59:55
kronodroid_real,TPOT,96.89,97.21,96.9,97.05,00:33:26
kronodroid_real,AutoPyTorch,97.3,97.6,97.2,97.13,00:59:59
kronodroid_real,LightAutoML,97.53,97.91,97.41,97.66,00:14:10
kronodroid_real,HyperGBM,96.77,96.77,96.77,96.77,00:06:50
kronodroid_real,MLJar,97.19,97.5,97.17,97.35,00:59:57
androcrawl,AutoGluon,98.75,94.71,93.27,93.99,00:59:58
androcrawl,MH-AutoML,98.58,96.61,95.8,96.2,00:12:28
androcrawl,Auto-Sklearn,98.75,94.71,93.27,93.99,00:59:58
androcrawl,TPOT,98.69,94.93,92.46,93.68,01:02:42
androcrawl,AutoPyTorch,97.3,97.6,97.2,97.13,00:59:59
androcrawl,LightAutoML,97.53,97.91,97.41,97.66,00:14:10
androcrawl,HyperGBM,96.77,96.77,96.77,96.77,00:06:50
androcrawl,MLJar,97.19,97.5,97.17,97.35,00:59:57
android_permissions,AutoGluon,67.26,68.36,94.26,79.25,00:01:28
android_permissions,MH-AutoML,68.13,64.76,54.58,51.07,00:02:48
android_permissions,Auto-Sklearn,67.38,67.88,96.46,79.68,00:59:56
android_permissions,TPOT,67.33,68.67,93.33,79.12,00:40:01
android_permissions,AutoPyTorch,68.38,67.99,96.73,80.03,01:07:23
android_permissions,LightAutoML,67.49,68.57,94.15,79.35,00:07:07
android_permissions,HyperGBM,67.28,64.97,67.28,58.0,00:01:09
android_permissions,MLJar,67.4,67.9,96.49,79.71,00:59:57
defensedroid_prs,AutoGluon,93.01,94.44,91.73,93.07,00:04:47
defensedroid_prs,MH-AutoML,91.7,91.79,91.78,91.7,00:13:04
defensedroid_prs,Auto-Sklearn,92.15,93.49,90.99,92.22,01:00:04
defensedroid_prs,TPOT,92.28,94.54,90.1,92.27,00:55:27
defensedroid_prs,AutoPyTorch,92.26,93.63,91.0,92.31,01:03:04
defensedroid_prs,LightAutoML,92.89,95.6,90.25,92.85,00:11:23
defensedroid_prs,HyperGBM,0.0,0.0,0.0,0.0,00:00:00
defensedroid_prs,MLJar,92.2,93.51,90.99,92.29,01:00:05
drebin,AutoGluon,98.62,98.46,97.82,98.14,00:01:13
drebin,MH-AutoML,98.33,98.38,98.05,98.21,00:02:77
drebin,Auto-Sklearn,98.5,98.72,97.22,97.97,01:00:06
drebin,TPOT,98.17,98.64,98.41,97.93,00:44:24
drebin,AutoPyTorch,98.52,98.76,97.27,98.01,01:00:10
drebin,LightAutoML,98.67,98.63,97.77,98.2,00:11:14
drebin,HyperGBM,98.25,98.25,98.25,98.24,00:01:35
drebin,MLJar,98.52,98.74,97.23,97.98,01:00:07
adroit,AutoGluon,91.36,89.64,79.92,84.5,00:01:05
adroit,MH-AutoML,90.93,90.74,87.24,88.73,00:03:47
adroit,Auto-Sklearn,91.97,91.51,80.19,85.48,01:00:05
adroit,TPOT,92.13,92.42,79.83,85.67,00:33:16
adroit,AutoPyTorch,91.99,91.7,80.33,85.5,01:00:09
adroit,LightAutoML,91.76,92.77,78.14,84.82,00:03:04
adroit,HyperGBM,91.26,91.39,91.26,90.98,00:01:11
adroit,MLJar,91.99,91.53,80.2,85.49,01:00:07
